City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
271,tofol,5.3248,163.0078,27.88,78,100,3.09,FM,1699827277
272,naze,28.3667,129.4833,16.51,68,73,8.54,JP,1699827278
273,mount isa,-20.7333,139.5,26.87,61,3,2.06,AU,1699827278
274,karema,-6.8205,30.4389,23.79,79,97,2.86,TZ,1699827278
275,pudozh,61.8099,36.5345,2.75,98,100,2.68,RU,1699827278
276,utrik,11.2278,169.8474,28.07,81,100,7.82,MH,1699827278
277,poyang,28.9924,116.6675,7.94,71,98,6.18,CN,1699827279
278,tahe,52.3333,124.7333,-8.29,55,67,2.12,CN,1699827279
279,maputo,-25.9653,32.5892,19.82,83,75,6.69,MZ,1699827237
280,teguise,29.0605,-13.564,19.12,88,0,1.03,ES,1699827279
281,gizo,-8.103,156.8419,27.73,75,91,5.22,SB,1699827279
282,jardim,-21.4803,-56.1381,36.72,25,44,2.41,BR,1699827280
283,nar'yan-mar,67.6713,53.087,-8.27,94,27,2.68,RU,1699827280
284,mahina,-17.5065,-149.489,29.87,70,75,5.14,PF,1699827018
285,fort bragg,35.139,-79.006,15.08,57,0,2.57,US,1699827280
286,severo-yeniseyskiy,60.3725,93.0408,-4.12,98,100,0.89,RU,1699827281
287,constantia,44.1833,28.65,7.61,47,99,4.05,RO,1699827281
288,al majaridah,19.1236,41.9111,27.52,55,83,1.15,SA,1699827281
289,tefe,-3.3542,-64.7114,31.06,66,20,1.03,BR,1699827281
290,nova vicosa,-17.8919,-39.3719,25.39,78,18,7.4,BR,1699827281
291,sergeyevka,53.88,67.4158,3.33,93,100,2.66,KZ,1699827281
292,senador pompeu,-5.5881,-39.3717,30.9,25,1,1.92,BR,1699827282
293,bodaybo,57.8506,114.1933,-23.89,98,55,0.73,RU,1699827282
294,lashio,22.9333,97.75,15.78,98,17,0.83,MM,1699827282
295,yangchun,22.1667,111.7833,17.15,80,93,3.28,CN,1699827282
296,bratsk,56.1325,101.6142,-7.73,89,39,1.27,RU,1699827282
297,urangan,-25.3,152.9,22.75,62,68,3.63,AU,1699827282
298,vennesla,58.2694,7.9741,2.93,95,75,5.66,NO,1699826692
299,champerico,14.3,-91.9167,29.6,70,5,2.53,GT,1699827283
300,goderich,43.7501,-81.7165,8.84,58,68,5.74,CA,1699827026
301,namibe,-15.1961,12.1522,22.08,78,87,1.67,AO,1699827283
302,klyuchi,52.2667,79.1667,5.09,87,99,3.94,RU,1699827283
303,nogliki,51.8333,143.1667,-8.14,61,70,7.15,RU,1699827283
304,bardsir,29.9227,56.5743,11.47,28,0,0.51,IR,1699827283
305,berezovyy,51.6667,135.7,-10.44,66,54,1.18,RU,1699827144
306,shakawe,-18.3667,21.85,29.21,22,85,1.43,BW,1699827284
307,la passe,45.5549,-0.8967,16.13,89,100,4.25,FR,1699827284
308,orimattila,60.8049,25.7296,1.48,89,100,4.15,FI,1699827284
309,olinda,-8.0089,-34.8553,26.85,65,40,2.57,BR,1699827284
310,necochea,-38.5473,-58.7368,12.5,43,97,4.09,AR,1699827285
311,asipovichy,53.2933,28.6422,5.46,85,100,6.96,BY,1699827285
312,long xuyen,10.3833,105.4167,26.97,94,76,3.39,VN,1699827285
313,targu carbunesti,44.95,23.5167,5.52,60,99,1.21,RO,1699827285
314,sharkan,57.2989,53.8712,1.26,85,100,4.42,RU,1699827285
315,taiynsha,53.8478,69.7639,4.13,91,100,3.68,KZ,1699827285
316,america dourada,-11.4553,-41.4361,26.95,25,1,4.11,BR,1699827286
317,tutoia,-2.7619,-42.2744,26.57,80,0,5.04,BR,1699827286
318,iluppur,10.5135,78.6236,24.64,84,78,4.35,IN,1699827286
319,labuan,5.2767,115.2417,26.93,81,6,2.33,MY,1699827286
320,susuman,62.7833,148.1667,-33.25,98,100,0.23,RU,1699827286
321,chinde,26.8418,88.0763,12.38,64,0,2.41,NP,1699827286
322,shahr-e babak,30.1165,55.1186,12.94,25,5,2.04,IR,1699827246
323,ialibu,-6.2821,143.9935,16.72,66,32,0.97,PG,1699827287
324,hualien city,23.9769,121.6044,20.65,89,95,6.95,TW,1699827287
325,acarau,-2.8856,-40.12,26.54,74,0,6.96,BR,1699827287
326,ende,-8.8432,121.6623,26.07,87,52,0.81,ID,1699827287
